Hour,April_2024_Avg_Net_Load_MW,August_2024_Avg_Net_Load_MW
1,17466.169646642935,24624.331209618824
2,16863.94446007718,23208.01388169459
3,16568.055947920937,22162.70114898589
4,16526.08148426959,21674.777097880124
5,16842.666563582592,21673.576841498103
6,17906.775059268584,22239.679825415446
7,18468.97114780466,22562.86189225806
8,13258.938480470311,18144.180746930117
9,8273.573510991748,14337.91159630519
10,6155.881192636002,12764.999874069941
11,5044.862138346985,11974.996851023052
12,4509.179377797112,11517.240438445919
13,3845.0853881643807,11499.732057321264
14,3614.798833830559,11781.53714487772
15,3430.732063498345,12851.059276045175
16,3476.127655388892,14829.863136027352
17,4596.36896362113,17286.401659391737
18,7538.070373449934,21245.648669890637
19,15181.873115672955,28593.81883685746
20,20853.941418378043,32880.285164195906
21,21332.212136556824,32186.928145840327
22,20729.57544006779,30626.812379012266
23,19327.912733598776,28252.000421503588
24,18089.271412569156,26059.462280683456
