Year,A Metro Cumulative Equity ($),B Rural Flex Cumulative Equity ($),C Rural Flex BESS Cumulative Equity ($)
0,-125100000.0,-78446249.99999999,-86354999.99999999
1,-115346425.78125,-78442195.31249999,-86351890.62499999
2,-98463042.33398438,-64152176.22070312,-70620969.23828125
3,-83598535.31265749,-34866587.85498046,-38380927.10449219
4,-68056599.15049444,-6550393.702663854,-7212244.943052795
5,-51821735.10802431,22656524.118830636,24932598.116939932
6,-34878100.08696091,52775145.37609947,58076563.69830984
7,-17209499.31452257,83826935.68015,92243144.19246215
8,1200621.1163414568,115833857.4730182,127456374.73043835
9,20369181.853256144,148818381.25426686,163740845.4143026
10,40313478.039722055,182803497.0523182,201121713.81419975
11,61051187.22190273,217812726.14566627,239624717.7365232
12,82600377.40941355,253870133.03910983,279276188.268731
13,104979515.29265192,291000337.70023996,320103063.1064494
14,128207474.61923316,329228528.0615153,362132900.16860694
15,152303544.73211962,368580472.7933538,405393891.50644386
16,177287439.27205402,409082534.35377145,449914877.51235044
17,203179305.04693025,450761682.3201971,495725361.43459165
18,229999731.07075608,493645507.00919676,542855524.2040858
19,257769757.7748835,537762233.3899431,591336239.5795147
20,286510886.3942021,583140735.2973714,641199089.6171522
21,316245088.53101027,629810549.9510694,692476380.4719126
22,346994815.8992963,677801892.7860572,745201158.5362339
23,378783010.2521798,727145672.6017216,799407226.9235253
24,411633113.49527836,777873507.0352794,855129162.3030266
25,926415163.0450002,1350003120.0793757,1483722378.3640857
