Parameter,X_Value,Levered_IRR
base_rent_per_mw_y1,1967968.8,0.20770959448685594
base_rent_per_mw_y1,2131966.2,0.23141803936476252
base_rent_per_mw_y1,2295963.6,0.25468926089608546
base_rent_per_mw_y1,2459961.0,0.27758484080545165
base_rent_per_mw_y1,2623958.4,0.30014050833688943
base_rent_per_mw_y1,2787955.8,0.32237850771908794
base_rent_per_mw_y1,2951953.1999999997,0.34431445958266504
target_utilization,0.68,0.21418945168374348
target_utilization,0.7366666666666667,0.23611624651287083
target_utilization,0.7933333333333333,0.2572158214457092
target_utilization,0.8500000000000001,0.27758484080545165
target_utilization,0.9066666666666667,0.2972948584496923
target_utilization,0.9633333333333334,0.31640226087067913
target_utilization,1.02,0.3349537568164287
total_capex,146800000.0,0.3412739102856108
total_capex,159033333.33333334,0.31723648075365873
total_capex,171266666.66666666,0.29618482264223145
total_capex,183500000.0,0.27758484080545165
total_capex,195733333.33333334,0.26102265497210975
total_capex,207966666.6666667,0.24617194460027653
total_capex,220200000.0,0.2327716628711637
debt_ratio,0.44000000000000006,0.250183747596177
debt_ratio,0.47666666666666674,0.25828158847775984
debt_ratio,0.5133333333333334,0.267348479482444
debt_ratio,0.55,0.27758484080545165
debt_ratio,0.5866666666666667,0.28925231518078287
debt_ratio,0.6233333333333333,0.302699481734123
debt_ratio,0.66,0.31840191649383676
lease_up_years,1.0,0.30005860473317736
lease_up_years,2.0,0.30005860473317736
lease_up_years,3.0,0.27758484080545165
lease_up_years,4.0,0.25995406608421967
lease_up_years,5.0,0.2456279060558661
opex_y1,6288000.0,0.2932466876844172
opex_y1,6812000.0,0.2880128139231958
opex_y1,7336000.0,0.28279222240178226
opex_y1,7860000.0,0.27758484080545165
opex_y1,8384000.0,0.272390558912478
opex_y1,8908000.0,0.26720922415044135
opex_y1,9432000.0,0.2620406367863716
