Parameter,X_Value,Y1_DSCR
initial_utilization,0.24,0.5818416915114141
initial_utilization,0.26,0.7214157664758876
initial_utilization,0.27999999999999997,0.8609898414403604
initial_utilization,0.3,1.000563916404834
initial_utilization,0.32,1.1401379913693075
initial_utilization,0.33999999999999997,1.2797120663337807
initial_utilization,0.36,1.419286141298254
base_rent_per_mw_y1,1967968.8,0.5818416915114141
base_rent_per_mw_y1,2131966.2,0.7214157664758873
base_rent_per_mw_y1,2295963.6,0.8609898414403608
base_rent_per_mw_y1,2459961.0,1.000563916404834
base_rent_per_mw_y1,2623958.4,1.140137991369307
base_rent_per_mw_y1,2787955.8,1.2797120663337807
base_rent_per_mw_y1,2951953.1999999997,1.4192861412982534
opex_y1,6288000.0,1.2191733580172874
opex_y1,6812000.0,1.1463035441464695
opex_y1,7336000.0,1.0734337302756518
opex_y1,7860000.0,1.000563916404834
opex_y1,8384000.0,0.9276941025340164
opex_y1,8908000.0,0.8548242886631987
opex_y1,9432000.0,0.7819544747923809
total_capex,146800000.0,1.250704895506043
total_capex,159033333.33333334,1.1544968266209625
total_capex,171266666.66666666,1.0720327675766084
total_capex,183500000.0,1.000563916404834
total_capex,195733333.33333334,0.9380286716295322
total_capex,207966666.6666667,0.8828505144748537
total_capex,220200000.0,0.8338032636706952
debt_rate,0.06,1.2507048955060427
debt_rate,0.065,1.1544968266209625
debt_rate,0.06999999999999999,1.0720327675766081
debt_rate,0.075,1.000563916404834
debt_rate,0.08,0.938028671629532
debt_rate,0.08499999999999999,0.8828505144748536
debt_rate,0.09,0.833803263670695
debt_ratio,0.44000000000000006,1.2507048955060427
debt_ratio,0.47666666666666674,1.1544968266209625
debt_ratio,0.5133333333333334,1.072032767576608
debt_ratio,0.55,1.000563916404834
debt_ratio,0.5866666666666667,0.9380286716295322
debt_ratio,0.6233333333333333,0.8828505144748539
debt_ratio,0.66,0.8338032636706952
