Hour,April_2024_Solar_Curtailment_MWh,August_2024_Solar_Curtailment_MWh
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.8098439614464333,2.6187826056818184
7,47.67904796714469,4.027290174780777
8,129.55798406572265,8.527759621306135
9,176.39350164782874,15.21678571994598
10,172.5418596145472,19.326431300042717
11,172.40613983456507,19.09211539618332
12,189.220578513263,16.255880007799284
13,192.14506502448506,17.93009612892621
14,200.9304709266709,24.79795717093827
15,196.90232171501486,16.948369909319908
16,176.9003782391088,12.125543456549014
17,80.79393257130312,7.842082214794074
18,4.978944331532911,3.0411514777361233
19,0.0175407328125,0.45210472520402045
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
