Year,A Metro IRR,B Rural Flex IRR,C Rural Flex BESS IRR
1,-0.9220337792266187,,
2,-0.591586540029917,-0.5731683573299837,-0.573173224749036
3,-0.3864410226661177,-0.19594616835907042,-0.19593788802245427
4,-0.2453940872138914,-0.02685975295350173,-0.02686529303832325
5,-0.14939032551545817,0.07138722955583318,0.071367077949925
6,-0.08224240149286924,0.13260604859544073,0.13257375701416796
7,-0.03384209331343714,0.1727320735588826,0.17269018867425767
8,0.0020011157729207087,0.20005938205105717,0.20000999460014193
9,0.029168303960917193,0.21923277817665315,0.21917751464318969
10,0.05016975767562465,0.23300674370774077,0.23294685402528365
11,0.06667971848268339,0.2430918792988534,0.24302832538831476
12,0.07984657928058936,0.25059153301237114,0.2505250597666484
13,0.09047800804993492,0.2562401983733139,0.25617138706230536
14,0.09915478303090014,0.2605400086329893,0.2604693163586954
15,0.10630282100395586,0.2638421002728567,0.2637698890818745
16,0.11223997121401941,0.2663968227185519,0.26632338120968857
17,0.1172071551542393,0.26838566903996963,0.26831122854545164
18,0.12138954567468313,0.26994212433041453,0.26986687115625074
19,0.12493125885879677,0.271165598429582,0.271089683210586
20,0.12794573001477755,0.2721309313228959,0.27205447624426093
21,0.1305231620210957,0.27289499876596746,0.2728181031906184
22,0.13273595213695139,0.27350137927917084,0.2734241241710256
23,0.1346427000518161,0.2739837008441397,0.27390615227234294
24,0.13629120523353117,0.274368073166642,0.2742902851012061
25,0.15323799414858685,0.277584832146361,0.27750598979263874
