Scenario,Target_IRR,Min_Viable_Rent_per_MW_yr,Achieved_IRR
A Metro,0.15,2000732.421875,0.15323799414858685
A Metro,0.175,2149414.0625,0.17251399763619446
A Metro,0.19999999999999998,2343505.859375,0.1975582692364949
A Metro,0.22499999999999998,2536865.234375,0.2225336910203919
A Metro,0.25,2729492.1875,0.24752178086635412
A Metro,0.27499999999999997,2921386.71875,0.27254401030552167
A Metro,0.3,3112548.828125,0.29758945186947316
A Metro,0.32499999999999996,3302246.09375,0.3225361797704621
A Metro,0.35,3491943.359375,0.3475476355535072
B Rural Flex,0.15,2459960.9375,0.277584832146361
B Rural Flex,0.175,2459960.9375,0.277584832146361
B Rural Flex,0.19999999999999998,2459960.9375,0.277584832146361
B Rural Flex,0.22499999999999998,2459960.9375,0.277584832146361
B Rural Flex,0.25,2459960.9375,0.277584832146361
B Rural Flex,0.27499999999999997,2459960.9375,0.277584832146361
B Rural Flex,0.3,2604980.46875,0.29754694416881433
B Rural Flex,0.32499999999999996,2789550.78125,0.32259328154093714
B Rural Flex,0.35,2976318.359375,0.3475485144908802
C Rural Flex BESS,0.15,2708984.375,0.2775059897926392
C Rural Flex BESS,0.175,2708984.375,0.2775059897926392
C Rural Flex BESS,0.19999999999999998,2708984.375,0.2775059897926392
C Rural Flex BESS,0.22499999999999998,2708984.375,0.2775059897926392
C Rural Flex BESS,0.25,2708984.375,0.2775059897926392
C Rural Flex BESS,0.27499999999999997,2708984.375,0.2775059897926392
C Rural Flex BESS,0.3,2869384.765625,0.29757078060635633
C Rural Flex BESS,0.32499999999999996,3072265.625,0.32258788234919966
C Rural Flex BESS,0.35,3278076.171875,0.3475751204317261
