Target_IRR,A Metro,B Rural Flex,C Rural Flex BESS
0.15,2000732.421875,2459960.9375,2708984.375
0.175,2149414.0625,2459960.9375,2708984.375
0.19999999999999998,2343505.859375,2459960.9375,2708984.375
0.22499999999999998,2536865.234375,2459960.9375,2708984.375
0.25,2729492.1875,2459960.9375,2708984.375
0.27499999999999997,2921386.71875,2459960.9375,2708984.375
0.3,3112548.828125,2604980.46875,2869384.765625
0.32499999999999996,3302246.09375,2789550.78125,3072265.625
0.35,3491943.359375,2976318.359375,3278076.171875
