Date,2020,2021,2022,2023,2024,2025
1,130069.55907601574,57293.25983437171,56761.08410205415,49551.748191011684,95504.91076921026,114966.9729277511
2,150212.73592513066,130879.31295277977,258516.28485645875,193402.03783195352,213625.72673853388,479628.9276648715
3,165767.85517536037,323572.0344989389,436000.53965953155,571597.3728597922,675588.2438283198,857176.8457074275
4,309803.3360199153,175368.08485253024,565470.6961156741,672010.2797144717,797801.5622483566,686707.6844379021
5,242049.55042854088,317048.94797217724,462275.70957774064,348136.00693134515,638130.6930967569,382842.08372336155
6,197759.43848480086,87512.47690746948,193760.28665067017,192035.27113924766,219203.11279090945,246336.0267997988
7,29309.449573040318,31938.089930688522,91639.38992221102,55704.53996314775,62500.6828674639,139903.29780876028
8,22673.03284855775,31837.678283327296,32883.32870542909,48379.24457240188,70809.30566091645,123218.47517544273
9,52747.20735688051,35999.03611887749,56414.80205179555,73386.03768713809,118410.62569636531,168928.7146298845
10,91157.44279072518,133307.3699299837,87230.4017717437,204586.0833721206,142376.0349466327,235941.40765618638
11,57453.59695165046,42590.23151255306,65182.9522106242,68878.73453982153,142083.49749953125,22747.22591648893
12,48216.85127022571,58979.391240420075,14122.949949541842,31256.03007207379,16565.545711029492,23925.21226985662
