Rank,Parameter,IRR_Impact_pct,DSCR_Impact_x,Base_Value
1,base_rent_per_mw_y1,13.66048650958091,0.8374444497868393,2459961.0
2,target_utilization,12.076430513268521,0.0,0.85
3,total_capex,10.850224741444714,0.4169016318353477,183500000.0
4,debt_ratio,6.821816889765975,0.41690163183534745,0.55
5,lease_up_years,5.443069867731126,0.0,3.0
6,opex_y1,3.1206050898045623,0.43721888322490654,7860000.0
7,debt_rate,2.240554076456347,0.4169016318353477,0.075
8,service_revenue_pct,1.6947249237141637,0.10468055622335504,0.0
9,rent_escalator,1.6498479746854366,0.0,0.025
10,initial_utilization,1.6161244490580318,0.83744444978684,0.3
11,capex_incentive_pct,0.5533197848079818,0.02106683777891394,0.05
12,io_years,0.4871833505390888,0.0,3.0
13,opex_escalator,0.38502260187018855,0.0,0.03
14,renewables_uplift_pct,0.2673071537395155,0.016420479407584843,0.02
15,terminal_multiple,0.11136439836868517,0.0,8.5
