Month,Reason,Solar Curtailment (MWh),Wind Curtailment (MWh),Total Curtailment (MW) (MWh)
2022-04,Local,494069.1562512242,27215.50293653426,448696.8954015205
2022-04,System,71401.53986444995,3489.011055800823,71422.999433905
2022-05,Local,339946.59075808147,8430.544087017612,221915.86501738778
2022-05,System,122329.11881965915,10990.685398116255,131100.98844396646
2022-06,Local,61572.41262392647,4469.720366419073,29788.553071083676
2022-06,System,132187.8740267437,3774.1316933148064,121985.95387981004
2022-07,Local,82862.50219907015,5040.481691803143,55375.408157339465
2022-07,System,8759.604020554452,1820.5489859157567,6460.708229535116
2022-08,Local,30691.409549923697,1310.7809151127033,7246.82653191356
2022-08,System,2209.2028580918186,218.07619567800745,460.76605757287894
2022-09,Local,53586.15081757675,4537.8042267248275,33776.20430518274
2022-09,System,2822.8425975215014,289.93285177831467,1179.664553488432
2022-10,Local,86577.43753952181,12295.684864174973,86443.98401533082
2022-10,System,658.7728689191854,269.42063767989464,248.56408465284042
2022-11,Local,64527.658952549806,10728.951575463294,64931.8609996084
2022-11,System,655.2932580743959,63.43416401979969,83.57518725864804
2022-12,Local,13181.412197368749,1992.669332530249,6774.727290963474
2022-12,System,941.5377521730927,472.4294059407751,337.60744014628574
2023-01,Local,46938.84758271447,2404.8783686649917,21550.09691918464
2023-01,System,2612.900608297212,1240.9921934293413,1686.2045839785599
2023-02,Local,175986.39882461078,9240.706533672479,97276.60730538149
2023-02,System,17415.639007342743,1326.6108783897205,17260.527209242897
2023-03,Local,399328.76652714633,18303.724711586536,309581.45075087185
2023-03,System,172268.6063326459,16276.794263392323,187141.81660793998
2023-04,Local,539353.3537701723,21318.012540669868,472367.7940258317
2023-04,System,132498.02112446292,9511.007801360493,139474.9088235978
2023-05,Local,186341.98455275348,12195.34652006227,149758.8665900597
2023-05,System,161952.92719842814,19554.656285682777,178711.94293925836
2023-06,Local,166439.16631656452,17666.89283901811,145307.26638596927
2023-06,System,25596.10482268316,4284.377519469925,27345.00916066411
2023-07,Local,53009.80571724409,1994.5379318042944,19146.408082276896
2023-07,System,2694.7342459036618,176.92359369315142,235.66487001975912
2023-08,Local,46179.58614794659,832.5760866198709,5411.940697159485
2023-08,System,2199.658424455298,60.826007418826705,116.14732420333333
2023-09,Local,71806.78789277814,2438.391451372233,32183.67444819088
2023-09,System,1576.2484041739438,155.25432800880697,278.2062454147281
2023-10,Local,198052.35660398367,6590.365747818655,128595.97619419411
2023-10,System,6493.931745212649,278.1421570383202,5429.246076030983
2023-11,Local,58699.15147392774,1644.0291642195746,25903.550933727623
2023-11,System,10221.689179650732,241.65333428833333,9911.73499199696
2023-12,Local,31121.11736438485,2807.935369242268,24942.393145731196
2023-12,System,135.6030070422776,57.77383628749999,54.81237456083331
2024-01,Local,95296.07915583476,5469.9676502798775,59835.62339485397
2024-01,System,208.83161337550138,24.516665902499998,54.132745692499995
2024-02,Local,201395.97408352888,14200.407996302141,204399.9132020814
2024-02,System,12229.752655005002,1083.645182531621,12671.338872171431
2024-03,Local,662570.5786449532,51850.586179279664,648202.4755204889
2024-03,System,12939.782818032347,2822.2811657498737,14309.431040890746
2024-04,Local,772057.3620155166,39918.51581173911,712783.6052951585
2024-04,System,24544.633166846943,1846.717880787381,23214.019699270862
2024-05,Local,539540.6319293631,43950.49468002487,443218.1527824865
2024-05,System,98467.11851065773,13313.79273461608,107376.74462381014
2024-06,Local,165737.36738681624,12215.135816008857,100443.84550460018
2024-06,System,54640.906202646,15210.242030397247,63145.29072063333
2024-07,Local,47923.10847493728,2426.1233687418953,12265.416531917072
2024-07,System,14567.076718687478,2717.455063936963,12748.01024174566
2024-08,Local,65202.25987593134,495.7690569284878,4140.751898715006
2024-08,System,5784.53125972803,267.7839179725,2700.1965735399053
2024-09,Local,111768.77537990475,1858.444099404325,30520.191166878136
2024-09,System,6695.831984713343,419.2199511688359,4596.366456233412
2024-10,Local,139568.83133217282,9292.394837041496,42114.2173316423
2024-10,System,1437.4288280001053,99.90666799833333,157.60000481916666
2024-11,Local,143198.4870542469,5314.33696596949,91021.10337105034
2024-11,System,259.0470520982807,147.73870637165635,113.75671409943752
2024-12,Local,15253.062148486386,5750.165325466137,5724.347506072405
2024-12,System,1312.4835625431062,81.00307008036995,797.3909350006666
2025-01,Local,109457.72178213185,14537.414792370659,52929.09817740232
2025-01,System,5504.440360674266,761.0663586273876,5904.463275346587
2025-02,Local,460501.2342311316,21636.427432742195,401865.0568446737
2025-02,System,19132.504218684935,1252.525739752764,19506.018908733764
2025-03,Local,571585.3287154845,34718.45970191255,507479.4750080744
2025-03,System,285570.9898217192,27120.766016720747,308525.98785311537
2025-04,Local,19.06624614225352,3.4676901894759,0.0
2025-04,System,1.4609240816667002,0.0,0.0
